date,market,side,outcome,size,usdc_spent,price
2026-02-26 10:50,Will Axiom be accused of insider trading?,BUY,Yes,2165.98,433.196,0.2
2026-02-26 10:50,Will Axiom be accused of insider trading?,BUY,Yes,112.75,22.55,0.2
2026-02-26 10:49,Will Axiom be accused of insider trading?,BUY,Yes,8.78,1.756,0.2
2026-02-26 10:49,Will Axiom be accused of insider trading?,BUY,Yes,9560.47,1912.094,0.2
2026-02-26 10:49,Will Axiom be accused of insider trading?,BUY,Yes,41538.33,8307.666,0.2
2026-02-26 10:45,Will Axiom be accused of insider trading?,BUY,Yes,21252.008685,4250.401737,0.2
2026-02-26 08:38,Will Axiom be accused of insider trading?,BUY,Yes,8574.255731,1500.494753,0.1750000000087471
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,2.26,0.3955,0.175
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,5.006057,0.87606,0.17500000499395033
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,3.91,0.68425,0.175
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,1.09,0.19075,0.175
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,5.0,0.875,0.175
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,25.0,4.375,0.175
2026-02-26 08:26,Will Axiom be accused of insider trading?,BUY,Yes,1.76,0.308,0.175
2026-02-26 05:28,Will Axiom be accused of insider trading?,BUY,Yes,1000.0,140.0,0.14
2026-02-26 05:25,Will Axiom be accused of insider trading?,BUY,Yes,10.0,1.4,0.14
2026-02-26 05:25,Will Axiom be accused of insider trading?,BUY,Yes,5.0,0.7,0.14
2026-02-26 05:25,Will Axiom be accused of insider trading?,BUY,Yes,200.0,28.0,0.14
2026-02-26 05:25,Will Axiom be accused of insider trading?,BUY,Yes,5.0,0.7,0.14
2026-02-26 05:18,Will Axiom be accused of insider trading?,BUY,Yes,2547.69,356.6766,0.14
2026-02-26 04:21,Will Axiom be accused of insider trading?,BUY,Yes,21387.24,3118.94224,0.14583191847101357
2026-02-25 09:03,Will Axiom be accused of insider trading?,BUY,Yes,2203.47,244.58517,0.111
2026-02-25 09:03,Will Axiom be accused of insider trading?,BUY,Yes,22501.13,2497.62543,0.111
2026-02-25 09:03,Will Axiom be accused of insider trading?,BUY,Yes,73.63,8.17293,0.111
2026-02-25 09:02,Will Axiom be accused of insider trading?,BUY,Yes,73.63,8.17293,0.111
2026-02-25 09:02,Will Axiom be accused of insider trading?,BUY,Yes,5436.45,603.44595,0.111
2026-02-25 08:59,Will Axiom be accused of insider trading?,BUY,Yes,56.92,6.31812,0.111
2026-02-25 08:58,Will Axiom be accused of insider trading?,BUY,Yes,66.12,7.33932,0.111
2026-02-25 08:57,Will Axiom be accused of insider trading?,BUY,Yes,80.98,8.98878,0.111
2026-02-25 08:53,Will Axiom be accused of insider trading?,BUY,Yes,61.92,6.87312,0.111
2026-02-25 08:53,Will Axiom be accused of insider trading?,BUY,Yes,65.0,7.215,0.111
2026-02-25 08:53,Will Axiom be accused of insider trading?,BUY,Yes,80.98,8.98878,0.111
2026-02-25 08:51,Will Axiom be accused of insider trading?,BUY,Yes,200.0,22.2,0.111
2026-02-25 08:50,Will Axiom be accused of insider trading?,BUY,Yes,4.375702,0.485703,0.11100001782571117
2026-02-25 08:50,Will Axiom be accused of insider trading?,BUY,Yes,1.687288,0.187289,0.11100001896534557
2026-02-25 08:50,Will Axiom be accused of insider trading?,BUY,Yes,5.624288,0.624296,0.11100000568960906
2026-02-25 08:50,Will Axiom be accused of insider trading?,BUY,Yes,67.491558,7.491563,0.1110000009186334
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,1111.1,123.3321,0.111
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,168.166477,18.666479,0.11100000031516388
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,55.106855,6.116861,0.11100000172392346
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,1.124855,0.124859,0.1110000844553298
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,3.937,0.437007,0.111
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,23.04,2.55744,0.111
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,11.113603,1.23361,0.11100000602864796
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,718.31,79.73241,0.111
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,28.121477,3.121484,0.11100000188468052
2026-02-25 08:49,Will Axiom be accused of insider trading?,BUY,Yes,10631.85,1180.13535,0.111
2026-02-25 08:34,Will Axiom be accused of insider trading?,BUY,Yes,15.72,1.74492,0.111
2026-02-25 08:34,Will Axiom be accused of insider trading?,BUY,Yes,4.15,0.46065,0.111
2026-02-25 08:34,Will Axiom be accused of insider trading?,BUY,Yes,6.850387,0.760393,0.11100000627701763
